country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,5,5
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,368,346,516,464,355,208,217,117,129,132,345,743,1290,980,111,89,343,268,79,65,58
Haiti,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7k,22k,22.2k,18.4k,16.3k,13.5k,10.5k,10.3k,12.7k,11.9k,7190,7460,2630,5160,6720,9260,22.5k,37k,41k,65.7k,81.3k
Hungary,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,4150,3120,1010,597,254,200,89,287,2450,3550,6010,3730,1960,337,703,1660,1660,804,680,602
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,4600,5320,7520,5770,4490,3270,2350,2220,2000,451,376,498,1120,1770,2640,3580,5380,3400,4330,4940
India,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9790,9750,11.1k,11.5k,11.7k,12.2k,6750,7080,6870,4710,3860,4350,6650,12.5k,16.7k,24.9k,27.9k,40.4k,51.8k,66k,69.9k
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,5,10,32,82,36,42,52,59,91,94
Iran,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6k,14.1k,13.2k,11.4k,9520,12.9k,13.7k,10.4k,11.1k,13.7k,16.1k,18.4k,24k,28.8k,34.9k,57.1k,87.5k,75.1k,87.4k,86.2k,77.2k
Iraq,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6k,34.8k,29.6k,31.6k,30.6k,34.4k,47.3k,27.7k,25.7k,22.4k,29.9k,24.5k,24.2k,43.1k,104k,237k,278k,273k,257k,303k,241k
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,5,5,5,0,5,5,0
